"","rank","robot_type","preference","count","total","percentage","sd","se"
"1","0","1","preference_student",466,720,0.647222222222222,0.264854471260166,0.00987054336470826
"2","0","1","preference_teacher",474,720,0.658333333333333,0.272285990263596,0.0101474997258374
"3","0","2","preference_student",635,720,0.881944444444444,0.421321224333731,0.0157017149662277
"4","0","2","preference_teacher",627,720,0.870833333333333,0.413930833072267,0.0154262913455451
"5","1","1","preference_student",84,720,0.116666666666667,0.264854471260166,0.00987054336470826
"6","1","1","preference_teacher",85,720,0.118055555555556,0.272285990263596,0.0101474997258374
"7","1","2","preference_student",29,720,0.0402777777777778,0.421321224333731,0.0157017149662277
"8","1","2","preference_teacher",28,720,0.0388888888888889,0.413930833072267,0.0154262913455451
"9","2","1","preference_student",89,720,0.123611111111111,0.264854471260166,0.00987054336470826
"10","2","1","preference_teacher",85,720,0.118055555555556,0.272285990263596,0.0101474997258374
"11","2","2","preference_student",24,720,0.0333333333333333,0.421321224333731,0.0157017149662277
"12","2","2","preference_teacher",28,720,0.0388888888888889,0.413930833072267,0.0154262913455451
"13","3","1","preference_student",81,720,0.1125,0.264854471260166,0.00987054336470826
"14","3","1","preference_teacher",76,720,0.105555555555556,0.272285990263596,0.0101474997258374
"15","3","2","preference_student",32,720,0.0444444444444444,0.421321224333731,0.0157017149662277
"16","3","2","preference_teacher",37,720,0.0513888888888889,0.413930833072267,0.0154262913455451
