"","Progress","Finished","RecordedDate","UserLanguage","ParticipantID","consent","age","gender","country","teach.age_1","teach.age_2","teach.age_3","teach.age_4","teach.age_5","teach.age_6","teach.age_6_TEXT","teach.school","teach.school_5_TEXT","teach.subject_1","teach.subject_2","teach.subject_3","teach.subject_4","teach.subject_5","teach.subject_6","teach.subject_7","teach.subject_8","teach.subject_9","teach.subject_10","teach.subject_10_TEXT","gators_RA1","gators_RA2","gators_RA3","gators_RA4","gators_RA5","gators_RA6","gators_RA7","gators_RA8","gators_RA9","gators_RA10","gators_RA11","gators_RA12","gators_RA13","gators_RA14","gators_RA15","gators_RA16","gators_RA17","gators_RA18","gators_RA19","gators_RA20","gators_pp","gators_pn","gators_sp","gators_sn","priorcontact.industrobot","priorcontact.domestrobot","priorcontact.socialrobot","priorcontact.otherrobot","priorcontactamount.industrobot","priorcontactamount.domestrobot","priorcontactamount.socialrobot","priorcontactamount.otherrobot","videos.amount","movies.amount","movies_seen","robots.skepticism","robot.risk_1","robot.risk_2","robot.risk_3","risk.mitigation_1","risk.mitigation_2","risk.mitigation_3","robot.benefit_1","robot.benefit_2","robot.benefit_3","benefit.mitigation_1","benefit.mitigation_2","benefit.mitigation_3","usecases.education","robot","robot_type","familiarrobot","familiarobjec","safety","competence","comfortable","friendliness","creepycute","badgood","physicalwarm","socialwarm","humanform","humanmotion","socialcompetence","socialness","socialintelligence","intelligence","ranksafety","rankcompetence","rankcomfortable","rankfriendliness","rankcreepycute","rankbadgood","rankphysicalwarmth","ranksocialwarmth","rankhumanform","ranksocialcompetence","ranksocial","ranksocialintelligence","rankintelligence","suitmath","suitdifftask","suitread","suitart","suitother","suitchildren","suitadults","suitageneither","why_age","suitindividual","suitgroups","suitindivgroupneither","why_group","suitteacher","suittutor","suitpeer","suitnovice","why_role","favoriteteacher1st","favoriteteacher2nd","favoriteteacher3rd","favoritestudent1st","favoritestudent2nd","favoritestudent3rd","Views","Viewssuit","totalviews","addthoughts","attentioncheck1","attentioncheck2","source"
"1",78,"False","17.02.24 09:26","EN","18603","1","24","2","",1,1,"0","0","0","0","","Public school","","1","1","1","1","1","1","1","1","1","0","All subjects",2,2,2,4,2,5,6,3,4,3,5,5,5,5,5,6,5,5,6,7,2.4,4.2,5,5.8,"0","1","0","0","","5","","","2","2",2,"2","safeguarding/child protection/GDPR","lack of teacher motivation","not back by pedagogy//children can learn by other means//feels unnecessary ","","","","for mundane tasks - it could take weight off the teacher","for one-one assessment or one-one reading, where the teacher doesn't have time and relies on accuracy - they could be useful","for children who struggle socially","","","","Too broad? 

- one-one
- scaffolding
- diagnostic
- Admin role","baxter","1","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","0","0","0","","0","0","0","","0","0","0","0","",0,0,0,0,0,0,0,0,0,"",NA,NA,"qualtrics"
"2",100,"True","20.02.24 14:59","EN","68638","1","29","1","England ",1,0,"0","0","0","0","","Public school","","1","0","1","1","1","0","0","0","0","0","",1,6,2,6,6,2,1,2,2,2,6,6,6,4,6,1,2,2,6,2,4.2,1.8,5.6,2.6,"0","0","0","1","","","","1","1","5",4,"5","In teams of educational aspect I don't see any risk in using social robots.","","","","","","Robots will actually save time ","Robots will definitely save energy and less stress ","Robots will definitely makes works easier and faster ","Cooking Robots can definitely help a housewife in preparation of meals.","","","In teams of education, a robots can assist in typing on the computer, A robot can also help in interpreting works, A robots can actually increase the rate of understanding.","baxter","1","10","8","12","12","17","16","12","18","9","12","11","17","16","11","8","15","11","11","12","12","11","12","12","2","11","7","12","11","9","6","22","6","10","For me this robots is scary I think it can make any positive impact ","1","1","0","Robots are helpful ","0","1","0","This robots can definitely help a group of people ","0","1","0","0","It can either be a teacher or tutor.",0,0,1,1,0,0,0,0,0,"I will love the impact of Robots in education.

Thank you ",NA,NA,"qualtrics"
"3",100,"True","22.02.24 00:51","DE","60323","1","40","2","Deutschland",0,0,"1","1","0","0","","Public school","","0","1","1","0","1","0","0","0","0","0","",6,6,4,5,2,4,4,1,1,1,6,6,6,4,6,7,6,6,5,6,4.6,2.2,5.6,6,"1","1","0","0","2","4","","","2","2",5,"4","Roboter als Spielerei und kein sinnvoller Einsatz","","","","","","Schwierig zu sagen, da in der Frage nichts über die Art und Weise steht","","","","","","Roboter könnten Texte diktieren, Fragen beantworten (anstatt zb Suchmaschinen zu benutzen), Programmieren könnte geübt werden","baxter","1","13","48","50","49","78","32","46","49","28","33","42","30","34","40","50","46","12","12","12","12","12","12","12","12","10","12","12","12","7","58","49","57","54","","0","1","0","","0","0","1","","0","0","0","1","",0,0,0,0,0,0,1,0,1,"",NA,NA,"qualtrics"
"4",100,"True","22.02.24 04:50","DE","37388","1","26","1","Deutschland",0,0,"1","0","0","0","","Public school","","1","0","0","1","0","1","0","0","0","0","",4,4,5,7,1,1,5,1,1,4,7,7,7,7,6,5,5,4,7,7,4.2,2.4,6.8,5.6,"0","1","0","0","","1","","","1","1",1,"4","Emotionale Bindung","Falsche Programmierung","Technische Fehler (Zeitaufwand + Kosten)","Neutrale Programmierung ","Programmierung nach gewissen Regeln","Finanzielle Unterstützung vom Staat, unbürokratische Instandsetzung","Entlastung ","Unterstützung","Motivation","Roboter müssen etabliert und anerkannt werden. Man sollte den Mut haben, sich mit Robotern auseinanderzusetzen, diese zu akzeptieren und diese letztendlich auch einsetzen. Mut zu Veränderungen. Mut zum Fortschritt. ","siehe 1","","Entlastung: Druckaufträge erfüllen, (Technische) Vorbereitung für den Unterricht, Organisatorisches generell
Unterstützung: Reinigung der Schule, Essensausgabe, Während Arbeitsphasen Recherche für Schüler:innen betreiben, um die Unterrichtszeit effizienter nutzen zu können
Motivation: Die Arbeit mit einem Roboter kann Spaß machen, dieser kann als ,,Schulmaskottchen'' fungieren und für Unterhaltung während der Pausen sorgen, Die Arbeit mit dem Roboter während Unterrichtszeiten kann motivieren, Er kann während Klassenfahrten als Sight-Seeing Experte fungieren...","baxter","1","15","15","70","100","40","25","24","50","0","10","10","0","28","20","60","100","5","2","4","4","6","4","7","5","4","4","10","5","2","0","0","0","87","","1","1","0","Gerade in unteren Klassen kann ich mir die ,,Kuscheltiere'' als geeigneten Lesezuhörer sehr gut vorstellen. Die Roboter, mit motorischen Fähigkeiten können als richtige Arbeitskraft fungieren und allen helfen.","1","1","0","Kuscheltiere als Individuelle Begleiter und die ,,Maschinellen"" als Gruppenunterstützer","0","0","1","0","",0,0,0,0,0,0,1,1,2,"",NA,NA,"qualtrics"
"5",100,"True","22.02.24 07:25","EN","73559","1","27","1","us",0,1,"1","0","0","0","","Religious school","","0","1","0","0","0","0","0","0","1","0","",3,6,4,3,4,3,5,5,5,3,4,3,3,4,4,4,3,4,3,5,4,4.2,3.6,3.8,"0","1","0",NA,"","4","","","3","3",3,"4","poor configaration ","poor programming","","proper encyption and coding","","","","","","","","","in transport sector","baxter","1","37","37","72","38","59","52","88","34","63","84","53","48","63","72","67","77","12","1","6","9","10","5","2","7","7","3","10","1","1","33","14","42","24","educating","0","1","0","structure and orientations","0","1","0","wellbeing","1","0","0","0","orientation",0,0,1,0,1,0,1,1,2,"robots are a core part",NA,NA,"qualtrics"
"6",71,"False","22.02.24 12:57","DE","92663","1","43","2","Spanien ",1,0,"0","0","0","0","","Private school","","1","1","1","0","1","1","0","0","0","0","",4,5,4,5,3,6,5,6,5,6,5,6,5,6,5,7,7,7,6,7,4.2,5.6,5.4,6.8,"1","1","1",NA,"1","2","1","","1","1",5,"1","Zu viel Technik und Bildschirme lenken die Kinder ab","Zu unpersönlich, Kinder brauchen Umarmungen ","Nimmt Arbeitsplätze weg
","","","","","","","","","","Sie könnten die Kopien für uns machen und Bastelarbeiten vorbereiten, damit wir mehr Zeit haben für andere Vorbereitungen ","baxter","1","2","9","31","23","54","2","44","27","1","1","1","2","2","2","2","5","","","","","","","","","","12","","","","","","","","","0","0","0","","0","0","0","","0","0","0","0","",0,0,0,0,0,0,1,0,1,"",NA,NA,"qualtrics"
"7",100,"True","23.02.24 15:34","EN","32367","1","24","2","UK",0,0,"1","1","1","0","","Private school","","0","0","0","0","1","0","0","0","0","0","",3,5,1,4,1,1,1,4,1,4,1,6,5,2,4,1,2,7,7,7,2.8,2.2,3.6,4.8,"1","1","1",NA,"1","5","4","","3","1",6,"2","The limit it could put on teaching/ pedagogic innovation and development.","Learning diversity and variety of adaptations needed. ","reducing human connection and emotional intelligence between real humans. Possible promotion of abuse (such as neglect). ","If the teachers themselves controlled the robots this could potentially solve this. However, it is an ongoing issue whether robots are involved or not - robots have the potential to simulate teaching laziness or inspire innovation. I think this is the responsibility of the people who allow robots in schools (SLT or the government depending on the type of robot)- not the classroom teachers ","Every learner is different. Not sure how robots can adapt to neurodiversity (I do not mean exclusively SEND). Not sure this is possible. There are on going debates about the most effective ways to do this as humans so if there is not concrete answer then not sure how robots can do this. ","I think robots understanding and responding to and adapting to emotion would be complex because articulating emotion is complex and therefore coding emotion would be complex. If robots could learn as well perhaps this could help. I think it would then be important to be able to control the rate at which a robot learns/ hold information in order to align it with the learners it is interacting with or the best suit the context it is in? Perhaps?","Exposes students to the possibility of technology- its potential and versatility.","Could potentially conner the issue surrounding students relationships with adults and this getting in the way of their examined education - for example if students dislike a teacher they may be less inclined to contribute to discussions with them however a non-human interaction (interaction with a robot) may minimise this extreme emotional response to learning with particular members of staff. ","","transparency would be key. The students themselves would need an understanding of how the robots work (to an extent). ","Robots would need the capacity to emotionally respond/ adapt the learner it was interacting with. ","","Not sure how social robots could be used (for 11-18-year-olds which would be ethically possible, trustworthy and transparent. ","baxter","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","50","11","4","5","10","11","4","8","8","5","10","11","4","6","27","0","0","0","","1","1","0","the ones for just children are more like toys - require more imagination than the ones appropriate for both adults and children","1","1","0","I am thinking for high schoolers. Perhaps the ones I have put in neither could be used as a stuffed animal may be used but not sure about learning. ","0","0","0","0","",0,0,0,0,0,0,1,1,2,"",NA,NA,"qualtrics"
"8",100,"True","24.02.24 03:42","DE","18638","1","52","2","Deutschland",0,0,"0","1","1","0","","Public school","","0","0","0","1","0","0","0","0","0","0","",4,4,5,6,4,1,3,4,4,1,5,7,6,3,6,2,2,3,7,6,4.6,2.6,5.4,4,"0","1","0","0","","2","","","1","1",0,"4","statt Unterstützung noch weitere Arbeit beim Auftreten von Fehlern","Ablenkung der Schülerinnen und Schüler","hohe Preise","gute Technik","bei regelmäßigen Einsatz gewöhnen sich die Menschen an Roboter und werden nicht mehr abgelenkt","","Unterstützung bei Verwaltungsarbeit
","als Assistenz im Unterricht","","","","","Unterstützung bei Verwaltungsarbeit, z. B. kopieren
Assistenz im Unterrichtsgeschehen","baxter","1","1","1","62","58","42","20","28","45","1","2","1","1","18","15","27","73","6","9","11","10","10","5","11","11","4","6","4","4","3","2","2","2","10","in einer Fabrik","0","1","0","","0","0","1","","0","1","0","0","",0,0,0,0,0,0,1,1,2,"",NA,NA,"qualtrics"
"9",100,"True","24.02.24 08:31","DE","11325","1","51","2","Deutschland",0,0,"1","1","1","0","","Public school","","0","0","1","0","0","0","0","0","0","0","",4,4,4,4,4,2,4,2,2,4,7,7,4,6,6,5,5,6,6,4,4,2.8,6,5.2,"1","1","0","1","2","2","","2","2","2",6,"3","Vandalismus/ Beschädigung: Soll der soziale Roboter in einer Schule eingesetzt werden, ist er den Schüler:innen ausgesetzt. Ich kann mir nicht vorstellen, dass er besser behandelt wird, als andere Gegenstände vom Mobiliar über Tabletts bis hin zu interaktiven Tafeln. Zwar neigen nur wenige Schüler:innen dazu, Dinge in ihrer Umgebung absichtlich zu zerstören, unsachgemäßer Gebrauch oder mal ein Ball auf Abwegen gehören aber zum Alltag.","Unsachgemäße Bedienung - Die Modelle, die mir bisher begegnet sind (hauptsächlich Prototypen/ Ausstellungsstücke auf einer Messe), sind anspruchsvoll in der Bedienung/ Wartung.
Sehr viele Schüler:innen und Kolleg:innen haben Sorgen beim Benutzen und Personalisieren von Apps auf ihren eigenen Geräten. Doch diese Geräte sind nicht auch noch autakt beweglich.","Abhängigkeit: Wenn ich die Entwicklung der mobilen Geräte/ smarten Geräte betrachte und auf soziale Roboter extrapoliere, sehe ich ein großes Potential für emotionale Abhängigkeit bis hin zur Sucht. ","Extrem stabile Konstruktion...","","Die Menschen versuchen ihre Träume zu realisieren. Ist ein Weg gefunden, muss die Gesellschaft lernen, damit umzugehen.
Ethikkommissionen müssen Vorgaben machen, was die sozialen Roboter leisten dürfen und wie sie mit den Nutzer:innen interagieren. ","Für das Unterrichten am Gymnasium sehe ich für mich derzeit keinen Bedarf. 
Als Projekt in AGen oder Unterstützung in der Kantine kann ich mir den Einsatz vorstellen.
","In Förderschulen kann ich mir den Einsatz vorstellen, um den Kindern zu helfen, wenn die kommunikativen oder motorischen Fähigkeiten stark eingeschränkt sind. 
","Unterstützung bei Routineaufgaben","","","Kann man den Robotern beibringen, Laborgeräte in die/ aus der Spülmaschine zu räumen oder Gefahrstoffe richtig wegzuräumen?
","- Routineaufgaben erledigen: z.B. die 20. Variante einer Aufgabe stellen und überprüfen, bis das Kind das Prinzip wirklich durchschaut hat
- Motivierend wirken/ Neugierde wecken
","baxter","1","50","100","10","50","35","15","50","50","5","5","15","10","0","15","0","0","12","4","12","10","12","4","12","11","3","12","11","11","10","0","0","0","50","Spülmaschine einräumen, Gemüse schneiden, Programmieren lernen","0","0","1","Kinder/ bis Grundschule: Kuschelfaktor/ Kindchenschema mehr oder weniger erfüllt
Erwachsene: erinnert zu sehr an Spielzeug, um in Kinderhand zu überdauern
beide: Verwendungszweck ist ersichtlich; Objekt muss nicht niedlich, aber optisch ansprechend sein
weder/ noch: Stereotype zu stark ausgeprägt; Greifroboter mit viel zu vielen Kabeln und offenen Gelenken, um frei zu stehen.
","0","0","1","Für Gruppen braucht das Objekt eine Mindestgröße, die alle Objekte im ""Einzeln""-Ordner nicht zu haben scheinen.
Die restlichen 3 Roboter scheinen mir so oder so ungeeignet zu sein.","0","0","0","1","Tutoren: Tablet ermöglicht vielerlei Übersichten/ Lösungen/ Skizzen/... ; Das Fahrzeug kann den Weg zeigen
Novize: kann programmiert werden/ sieht wenig kompetent aus, so dass kleine Kinder ihnen vielleicht noch etwas beibringen wollen
Peers: sehen niedlich/ freundschaftlich aus
Lehrer: passen in keine andere Kategorie, wissen aber alles besser",0,0,0,0,0,0,1,1,2,"Einerseits finde ich es sehr spannend, welche Möglichkeiten die Roboter bieten könnten. 
Andererseits erschließt sich mir häufig nicht der tatsächliche Mehrwert. 
Vieles erscheint mir so sinnvoll zu sein wie ein Tamagotchi, ein paar Dinge könnten unser Leben zum positiven oder negativen umkrempeln und wenige Roboter könnten tatsächlich einen sinnvollen Beitrag zum Verbessern des Lebens leisten.",NA,NA,"qualtrics"
"10",100,"True","24.02.24 11:28","DE","54350","1","28","1","Deutschland",0,0,"0","1","1","0","","Public school","","0","1","1","0","0","0","0","0","0","0","",5,3,4,4,5,2,3,2,1,2,5,6,6,4,6,5,5,4,5,5,4.2,2,5.4,4.8,"0","1","0","1","","2","","1","2","3",5,"3","Fehlende Empathie","Hacking","","Überwachung der Tätigkeit durch Menschen","","","Individualisiertes Lernen","Direktes Feedback","","","","","- Prüfen von Lösungen
- Individualisierte Übungen
- Übungen zur Aussprache von Wörtern
","baxter","1","12","63","48","73","42","3","50","49","28","1","22","28","3","3","10","31","12","1","9","12","6","7","1","11","4","9","12","8","4","20","5","2","69","","1","1","0","Tiere zu Kindern","0","1","0","Tiere einzeln","0","0","1","0","",0,0,1,0,0,0,1,1,2,"",NA,NA,"qualtrics"
